iter	Passed	Remaining
0	385	385003
1	701	349824
2	928	308472
3	1144	285037
4	1367	272165
5	1548	256604
6	1826	259161
7	2033	252140
8	2222	244710
9	2434	241055
10	2624	235943
11	2845	234264
12	3010	228562
13	3194	225017
14	3362	220819
15	3555	218657
16	3729	215635
17	3891	212278
18	4037	208451
19	4206	206113
20	4401	205189
21	4576	203437
22	4752	201856
23	4926	200332
24	5087	198416
25	5247	196570
26	5411	195004
27	5585	193895
28	5759	192838
29	5923	191520
30	6105	190852
31	6286	190163
32	6457	189223
33	6621	188121
34	6785	187084
35	6966	186548
36	7140	185843
37	7359	186322
38	7556	186206
39	7739	185759
40	7909	184999
41	8091	184558
42	8251	183634
43	8421	182976
44	8574	181968
45	8738	181237
46	8883	180121
47	9051	179519
48	9215	178859
49	9373	178097
50	9533	177389
51	9676	176406
52	9799	175097
53	9974	174736
54	10120	173882
55	10250	172787
56	10518	174009
57	10697	173746
58	10883	173584
59	11089	173741
60	11225	172802
61	11382	172207
62	11515	171264
63	11640	170243
64	11812	169918
65	11977	169506
66	12170	169473
67	12326	168949
68	12456	168076
69	12639	167930
70	12806	167567
71	12959	167030
72	13138	166841
73	13312	166587
74	13479	166247
75	13729	166916
76	13898	166598
77	14130	167026
78	14364	167466
79	14558	167428
80	14756	167420
81	14881	166598
82	15027	166024
83	15194	165691
84	15359	165345
85	15513	164872
86	15730	165081
87	15963	165441
88	16169	165507
89	16456	166391
90	16792	167743
91	17052	168303
92	17220	167948
93	17395	167662
94	17573	167406
95	17757	167218
96	17918	166803
97	18136	166933
98	18283	166399
99	18434	165914
100	18609	165642
101	18810	165608
102	19001	165481
103	19178	165233
104	19338	164836
105	19534	164752
106	19725	164627
107	19872	164129
108	20065	164023
109	20256	163891
110	20408	163455
111	20569	163085
112	20803	163294
113	21002	163229
114	21144	162723
115	21311	162408
116	21479	162109
117	21643	161773
118	21844	161722
119	21980	161189
120	22153	160930
121	22310	160559
122	22473	160236
123	22667	160137
124	22818	159728
125	22994	159502
126	23135	159031
127	23298	158723
128	23436	158245
129	23587	157857
130	23744	157512
131	23917	157274
132	24142	157382
133	24338	157290
134	24511	157054
135	24651	156606
136	24829	156408
137	24995	156130
138	25221	156228
139	25393	155990
140	25521	155481
141	25703	155304
142	25862	154991
143	25997	154540
144	26156	154232
145	26294	153805
146	26499	153766
147	26676	153569
148	26902	153648
149	27056	153320
150	27240	153160
151	27362	152651
152	27551	152523
153	27732	152346
154	27926	152247
155	28080	151920
156	28267	151780
157	28396	151329
158	28555	151041
159	28680	150574
160	28883	150518
161	29043	150235
162	29210	149993
163	29372	149728
164	29557	149580
165	29765	149543
166	29928	149283
167	30092	149031
168	30275	148868
169	30426	148555
170	30589	148296
171	30796	148251
172	30997	148180
173	31163	147936
174	31323	147667
175	31504	147496
176	31712	147455
177	31880	147223
178	32050	147000
179	32214	146753
180	32399	146605
181	32554	146314
182	32948	147096
183	33191	147196
184	33430	147276
185	33585	146982
186	33793	146919
187	33968	146715
188	34151	146544
189	34361	146489
190	34570	146425
191	34799	146448
192	35025	146454
193	35193	146216
194	35436	146287
195	35628	146148
196	35845	146109
197	36047	146010
198	36331	146240
199	36499	145998
200	36691	145851
201	36882	145703
202	37090	145619
203	37255	145368
204	37410	145078
205	37588	144881
206	37805	144827
207	37984	144631
208	38214	144630
209	38500	144834
210	38723	144799
211	38987	144915
212	39183	144777
213	39410	144750
214	39612	144632
215	39887	144775
216	40087	144647
217	40267	144446
218	40457	144281
219	40617	144007
220	40778	143741
221	40927	143429
222	41123	143286
223	41358	143277
224	41575	143204
225	41841	143298
226	42133	143477
227	42346	143384
228	42547	143247
229	42702	142961
230	42918	142874
231	43101	142680
232	43347	142693
233	43476	142322
234	43692	142231
235	43857	141979
236	44068	141875
237	44324	141911
238	44532	141797
239	44773	141782
240	45039	141846
241	45266	141784
242	45458	141614
243	45615	141333
244	45835	141248
245	46047	141138
246	46271	141063
247	46532	141097
248	46764	141044
249	46886	140660
250	47096	140538
251	47245	140237
252	47483	140197
253	47666	139995
254	47880	139885
255	48056	139663
256	48250	139495
257	48475	139415
258	48673	139254
259	48986	139423
260	49226	139380
261	49401	139153
262	49597	138987
263	49797	138830
264	50004	138692
265	50173	138449
266	50360	138256
267	50566	138115
268	50746	137903
269	50914	137656
270	51089	137432
271	51321	137359
272	51511	137175
273	51704	136998
274	51902	136834
275	52097	136661
276	52306	136524
277	52539	136451
278	52810	136474
279	53340	137160
280	53709	137428
281	53883	137193
282	54135	137157
283	54364	137058
284	54687	137198
285	54985	137270
286	55158	137032
287	55309	136736
288	55459	136441
289	55676	136311
290	55829	136025
291	56073	135959
292	56359	135993
293	56628	135984
294	56821	135794
295	57001	135570
296	57311	135656
297	57518	135496
298	57758	135413
299	58017	135373
300	58332	135463
301	58677	135618
302	58834	135339
303	59134	135385
304	59425	135412
305	59684	135363
306	59826	135048
307	60094	135017
308	60271	134781
309	60570	134818
310	60959	135051
311	61234	135030
312	61435	134843
313	61697	134790
314	61919	134651
315	62242	134726
316	62439	134531
317	62809	134704
318	63054	134608
319	63194	134288
320	63393	134093
321	63641	134002
322	63828	133782
323	64015	133563
324	64200	133338
325	64381	133108
326	64550	132852
327	64814	132790
328	65153	132881
329	65409	132801
330	65715	132820
331	65910	132614
